year,station,fishID,length_mm,maj_class,VBage
2019,DAL_01,39555,107,NS,2
2019,FKN_06,40817,70,NS,1
2019,FKN_06,40823,86,NS,1
2019,FKN_06,40824,87,NS,1
2019,FKN_06,40831,66,NS,1
2019,FKN_06,40833,83,NS,1
2019,FKN_06,40865,79,NS,1
2019,FKN_06,40866,63,NS,1
2019,FKN_06,40870,71,NS,1
2019,FKN_06,40871,75,NS,1
2019,FRK_06,40956,95,OS,1
2019,FRK_06,40959,90,OS,1
2019,FRK_06,40960,107,OS,2
2019,FRK_06,40997,104,OS,2
2019,DUS_08,41973,162,US,3
2019,DUS_08,41984,143,US,3
2019,DUS_08,41986,152,US,3
2019,DUS_08,41990,113,US,2
2019,DUS_08,41992,137,US,3
2019,DUS_08,41995,122,US,2
2019,DUS_08,41996,117,US,2
2019,DUS_08,41997,158,US,3
2019,DUS_08,41998,126,US,2
2019,DUS_08,41999,168,US,4
2019,DUS_08,42001,127,US,2
2019,DUS_08,42106,140,US,3
2019,DUS_08,42114,118,US,2
2019,DUS_08,42123,125,US,2
2019,DUS_08,42124,109,US,2
2019,DUS_08,42125,103,US,2
2019,DUS_08,42131,120,US,2
2019,MTI_06,44031,79,OS,1
2019,MTI_06,44033,76,OS,1
2019,MTI_06,44034,79,OS,1
2019,MTI_06,44037,81,OS,1
2019,MTI_06,44039,65,OS,1
2019,MTI_06,44041,70,OS,1
2019,MTI_06,44042,78,OS,1
2019,MTI_06,44044,61,OS,1
2019,MTI_06,44045,76,OS,1
2019,MTI_06,44047,70,OS,1
2019,MTI_06,44048,73,OS,1
2019,MTI_06,44050,63,OS,1
2019,MTI_06,44051,66,OS,1
2019,MTI_06,44052,68,OS,1
2019,MTI_06,44053,62,OS,1
2019,MTI_01,45772,117,OS,2
2019,MTI_01,45773,127,OS,2
2019,MTI_01,45774,87,OS,1
2019,MTI_01,45776,89,OS,1
2019,MTI_01,45777,96,OS,1
2019,MTI_01,45778,94,OS,1
2019,MTI_01,45779,96,OS,1
2019,MTI_01,45780,94,OS,1
2019,CPB_10,46603,135,US,3
2019,CPB_10,46604,174,US,4
2019,CPB_10,46610,136,US,3
2019,CPB_10,46611,176,US,4
2019,CPB_10,46618,160,US,3
2019,CPB_03,47591,132,US,2
2019,CPB_03,47595,117,US,2
2019,CPB_03,47596,88,US,1
2019,CPB_03,47597,112,US,2
2019,CPB_03,47601,93,US,1
2019,CPB_03,47602,89,US,1
2019,KUG_03,48055,113,OS,2
2019,KUG_03,48056,115,OS,2
2019,KUG_03,48058,152,OS,3
2019,KUG_03,48059,119,OS,2
2019,KUG_03,48067,138,OS,3
2019,KUG_03,48069,79,OS,1
2019,KUG_03,48075,145,OS,3
2019,KUG_03,48078,128,OS,2
2019,KUG_03,48080,109,OS,2
2019,KUG_03,48084,129,OS,2
2019,KUG_03,48099,122,OS,2
2019,KUG_03,48107,116,OS,2
2019,KUG_03,48108,125,OS,2
2018,KUG_03,48110,111,OS,2
2019,KUG_03,48111,118,OS,2
2018,KUG_04,48263,126,US,2
2018,KUG_04,48264,127,US,2
2018,KUG_04,48266,154,US,3
2018,KUG_04,48267,145,US,3
2018,KUG_04,48270,115,US,2
2018,KUG_04,48272,134,US,2
2018,KUG_04,48274,102,US,2
2018,KUG_04,48275,121,US,2
2018,KUG_04,48277,87,US,1
2018,KUG_04,48278,134,US,2
2018,KUG_04,48279,117,US,2
2018,FKN_04,50123,122,OS,2
2018,FKN_04,50124,119,OS,2
2018,FKN_04,50129,78,OS,1
2018,FKN_04,50131,104,OS,2
2018,FKN_04,50132,117,OS,2
2018,FKN_04,50135,97,OS,2
2018,FKN_04,50137,97,OS,2
2018,BPT_05,52129,77,OS,1
2018,BPT_05,52156,97,OS,2
2018,BPT_05,52169,171,OS,4
2018,BPT_05,52175,105,OS,2
2018,BPT_05,52183,74,OS,1
2018,BPT_05,52187,96,OS,1
2018,BPT_05,52189,79,OS,1
2018,BPT_05,52198,73,OS,1
2018,BPT_05,52199,80,OS,1
2018,KUG_05,55119,132,US,2
2018,KUG_05,55123,159,US,3
2018,KUG_05,55377,142,US,3
2018,KUG_05,55378,131,US,2
2018,KUG_05,55383,79,US,1
2018,KUG_04,55539,130,US,2
2018,KUG_04,55540,150,US,3
2018,KUG_04,55541,99,US,2
2018,KUG_04,55542,73,US,1
2018,KUG_04,55543,140,US,3
2018,KUG_04,55544,88,US,1
2018,KUG_04,55546,90,US,1
2018,KUG_04,55547,128,US,2
2018,KUG_04,55548,125,US,2
2018,KUG_04,55549,138,US,3
2018,KUG_04,55553,103,US,2
2018,KUG_04,55554,149,US,3
2018,KUG_04,55556,87,US,1
2018,KUG_04,55557,173,US,4
2018,KUG_04,55558,93,US,1
2018,KUG_04,55559,105,US,2
2018,KUG_04,55560,90,US,1
2018,KUG_04,55561,124,US,2
2018,BPT_03,58605,66,OS,1
2018,BPT_03,58629,61,OS,1
2018,BPT_03,58638,80,OS,1
2018,BPT_03,58640,63,OS,1
2018,BPT_03,58643,62,OS,1
2018,BPT_03,58644,65,OS,1
2018,BPT_03,58646,65,OS,1
